GCCSA,GCCSA NAME,Earners (persons),Earners (persons),Earners (persons),Earners (persons),Earners (persons),Earners (persons),Earners (persons),Median age of earners (years),Median age of earners (years),Median age of earners (years),Median age of earners (years),Median age of earners (years),Median age of earners (years),Median age of earners (years),Sum ($),Sum ($),Sum ($),Sum ($),Sum ($),Sum ($),Sum ($),Median ($),Median ($),Median ($),Median ($),Median ($),Median ($),Median ($),Mean ($),Mean ($),Mean ($),Mean ($),Mean ($),Mean ($),Mean ($)
GCCSA,GCCSA NAME,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Australia ,,"12,268,900","12,449,976","12,703,715","13,102,895","13,358,252","13,678,024","14,069,082",42,42,42,42,42,42,42,"681,646,510,730","722,858,965,324","759,712,820,057","799,748,049,060","827,875,051,087","856,159,475,083","903,888,674,402","42,987","44,778","45,828","46,854","47,692","48,360","49,805","55,559","58,061","59,802","61,036","61,975","62,594","64,246"
New South Wales,,"3,824,011","3,871,906","3,953,705","4,091,347","4,191,542","4,344,997","4,466,941",42,42,42,42,42,42,42,"217,709,426,015","229,617,831,286","242,519,496,944","256,928,457,330","270,324,902,216","283,275,046,025","300,176,988,652","42,819","44,576","45,697","46,879","48,085","48,700","50,153","56,932","59,304","61,340","62,798","64,493","65,196","67,200"
1GSYD,Greater Sydney,"2,495,945","2,541,152","2,606,163","2,712,735","2,788,215","2,909,201","2,996,160",41,41,41,41,41,40,40,"153,520,278,521","162,824,242,126","172,926,801,782","183,938,528,088","194,328,537,211","204,516,965,671","217,598,375,558","45,267","47,149","48,381","49,571","50,724","51,191","52,665","61,508","64,075","66,353","67,806","69,696","70,300","72,626"
1RNSW,Rest of NSW,"1,324,764","1,327,632","1,344,589","1,376,020","1,388,501","1,435,100","1,470,472",45,45,45,45,45,45,45,"63,995,638,210","66,616,998,489","69,427,670,096","72,836,696,235","75,127,561,974","78,728,246,008","82,559,714,374","38,824","40,288","41,241","42,445","43,557","44,339","45,798","48,307","50,177","51,635","52,933","54,107","54,859","56,145"
Victoria,,"3,035,381","3,077,528","3,152,222","3,260,682","3,352,403","3,474,938","3,603,810",42,42,42,42,42,42,41,"164,497,754,479","172,135,438,755","181,782,714,358","192,443,671,450","202,318,292,276","213,668,870,028","228,631,116,478","42,352","43,724","44,786","45,930","46,984","47,709","49,266","54,193","55,933","57,668","59,019","60,350","61,489","63,442"
2GMEL,Greater Melbourne,"2,291,260","2,332,057","2,395,900","2,487,136","2,559,275","2,671,373","2,779,571",41,41,41,41,41,40,40,"130,470,993,784","137,182,819,159","144,873,818,735","153,666,988,752","161,839,266,614","171,713,145,486","184,003,369,570","43,954","45,455","46,363","47,515","48,572","49,260","50,648","56,943","58,825","60,467","61,785","63,236","64,279","66,198"
2RVIC,Rest of Vic.,"740,120","741,737","752,560","770,163","777,744","802,387","824,012",45,45,45,45,45,45,45,"33,830,607,659","34,754,693,884","36,701,703,312","38,597,339,577","39,431,120,699","41,878,794,191","44,622,235,931","37,977","38,850","40,209","41,382","42,019","43,091","44,967","45,710","46,856","48,769","50,116","50,699","52,193","54,152"
Queensland,,"2,448,420","2,478,208","2,516,080","2,592,850","2,623,526","2,716,386","2,798,990",41,42,42,42,42,42,42,"131,261,448,492","139,350,839,784","144,655,443,514","151,508,767,272","154,933,955,865","161,717,172,094","170,231,414,179","42,530","44,366","45,235","46,052","46,869","47,425","48,826","53,611","56,230","57,492","58,433","59,056","59,534","60,819"
3GBRI,Greater Brisbane,"1,188,611","1,203,042","1,224,934","1,268,080","1,295,187","1,347,196","1,392,285",40,41,41,41,41,40,40,"67,267,005,033","71,049,970,214","74,215,136,853","78,085,350,376","80,621,255,582","84,587,997,435","89,251,400,612","44,887","46,652","47,690","48,625","49,482","50,011","51,346","56,593","59,059","60,587","61,578","62,247","62,788","64,104"
